Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Janeiro;;Montes Claros;3143302;2024;475;46;Montes Claros_475;-16,75651;-43,86687;Positiva;3;-16.75651,-43.86687
Janeiro;;Montes Claros;3143302;2024;476;39;Montes Claros_476;-16,75614;-43,86403;Positiva;3;-16.75614,-43.86403
Janeiro;;Montes Claros;3143302;2024;477;0;Montes Claros_477;-16,75579;-43,86111;Negativa;3;-16.75579,-43.86111
Janeiro;;Montes Claros;3143302;2024;478;303;Montes Claros_478;-16,75643;-43,85838;Positiva;3;-16.75643,-43.85838
Janeiro;;Montes Claros;3143302;2024;479;0;Montes Claros_479;-16,75647;-43,85443;Negativa;3;-16.75647,-43.85443
Janeiro;;Montes Claros;3143302;2024;480;28;Montes Claros_480;-16,75608;-43,85202;Positiva;3;-16.75608,-43.85202
Janeiro;;Montes Claros;3143302;2024;481;127;Montes Claros_481;-16,75635;-43,84935;Positiva;3;-16.75635,-43.84935
Janeiro;;Montes Claros;3143302;2024;482;0;Montes Claros_482;-16,75575;-43,84660;Negativa;3;-16.75575,-43.84660
Janeiro;;Montes Claros;3143302;2024;488;0;Montes Claros_488;-16,75891;-43,87683;Negativa;3;-16.75891,-43.87683
Janeiro;;Montes Claros;3143302;2024;489;88;Montes Claros_489;-16,75898;-43,87260;Positiva;3;-16.75898,-43.87260
Janeiro;;Montes Claros;3143302;2024;490;37;Montes Claros_490;-16,75938;-43,86970;Positiva;3;-16.75938,-43.86970
Janeiro;;Montes Claros;3143302;2024;491;0;Montes Claros_491;-16,75952;-43,86667;Negativa;3;-16.75952,-43.86667
Janeiro;;Montes Claros;3143302;2024;492;6;Montes Claros_492;-16,75931;-43,86370;Positiva;3;-16.75931,-43.86370
Janeiro;;Montes Claros;3143302;2024;493;140;Montes Claros_493;-16,75912;-43,86105;Positiva;3;-16.75912,-43.86105
Janeiro;;Montes Claros;3143302;2024;494;34;Montes Claros_494;-16,75914;-43,85180;Positiva;3;-16.75914,-43.85180
Janeiro;;Montes Claros;3143302;2024;495;195;Montes Claros_495;-16,75897;-43,84920;Positiva;3;-16.75897,-43.84920
Janeiro;;Montes Claros;3143302;2024;496;84;Montes Claros_496;-16,75947;-43,84559;Positiva;3;-16.75947,-43.84559
Janeiro;;Montes Claros;3143302;2024;499;31;Montes Claros_499;-16,76253;-43,87602;Positiva;3;-16.76253,-43.87602
Janeiro;;Montes Claros;3143302;2024;500;62;Montes Claros_500;-16,76192;-43,87072;Positiva;3;-16.76192,-43.87072
