Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Março;;Montes Claros;3143302;2024;36;41;Montes Claros_36;-16,68189;-43,82564;Positiva;13;-16.68189,-43.82564
Março;;Montes Claros;3143302;2024;37;94;Montes Claros_37;-16,68045;-43,82308;Positiva;9;-16.68045,-43.82308
Março;;Montes Claros;3143302;2024;37;0;Montes Claros_37;-16,68045;-43,82308;Negativa;11;-16.68045,-43.82308
Março;;Montes Claros;3143302;2024;37;0;Montes Claros_37;-16,68045;-43,82308;Negativa;13;-16.68045,-43.82308
Março;;Montes Claros;3143302;2024;38;62;Montes Claros_38;-16,68433;-43,87644;Positiva;9;-16.68433,-43.87644
Março;;Montes Claros;3143302;2024;38;121;Montes Claros_38;-16,68433;-43,87644;Positiva;11;-16.68433,-43.87644
Março;;Montes Claros;3143302;2024;38;0;Montes Claros_38;-16,68433;-43,87644;Negativa;13;-16.68433,-43.87644
Março;;Montes Claros;3143302;2024;39;301;Montes Claros_39;-16,68487;-43,86639;Positiva;9;-16.68487,-43.86639
Março;;Montes Claros;3143302;2024;39;181;Montes Claros_39;-16,68487;-43,86639;Positiva;11;-16.68487,-43.86639
Março;;Montes Claros;3143302;2024;39;0;Montes Claros_39;-16,68487;-43,86639;Negativa;13;-16.68487,-43.86639
Março;;Montes Claros;3143302;2024;40;0;Montes Claros_40;-16,68432;-43,84911;Negativa;9;-16.68432,-43.84911
Março;;Montes Claros;3143302;2024;40;0;Montes Claros_40;-16,68432;-43,84911;Negativa;11;-16.68432,-43.84911
Março;;Montes Claros;3143302;2024;40;0;Montes Claros_40;-16,68432;-43,84911;Negativa;13;-16.68432,-43.84911
Março;;Montes Claros;3143302;2024;41;156;Montes Claros_41;-16,68560;-43,83535;Positiva;9;-16.68560,-43.83535
Março;;Montes Claros;3143302;2024;41;166;Montes Claros_41;-16,68560;-43,83535;Positiva;11;-16.68560,-43.83535
Março;;Montes Claros;3143302;2024;41;95;Montes Claros_41;-16,68560;-43,83535;Positiva;13;-16.68560,-43.83535
Março;;Montes Claros;3143302;2024;42;52;Montes Claros_42;-16,68464;-43,82781;Positiva;9;-16.68464,-43.82781
Março;;Montes Claros;3143302;2024;42;62;Montes Claros_42;-16,68464;-43,82781;Positiva;11;-16.68464,-43.82781
Março;;Montes Claros;3143302;2024;42;43;Montes Claros_42;-16,68464;-43,82781;Positiva;13;-16.68464,-43.82781
Março;;Montes Claros;3143302;2024;43;47;Montes Claros_43;-16,68443;-43,82440;Positiva;9;-16.68443,-43.82440
Março;;Montes Claros;3143302;2024;43;0;Montes Claros_43;-16,68443;-43,82440;Negativa;11;-16.68443,-43.82440
Março;;Montes Claros;3143302;2024;43;2;Montes Claros_43;-16,68443;-43,82440;Positiva;13;-16.68443,-43.82440
Março;;Montes Claros;3143302;2024;44;43;Montes Claros_44;-16,68475;-43,82107;Positiva;9;-16.68475,-43.82107
Março;;Montes Claros;3143302;2024;44;324;Montes Claros_44;-16,68475;-43,82107;Positiva;11;-16.68475,-43.82107
